artist, title, info, tags
Alexander von Schlippenbach, Monk's Casino ,,[03-04; Intakt; 3CD]				
Maria Schneider, Concert in the Garden ,,[04; ArtistShare] 
John Scofield, Quiet ,,[96; Verve]
Artie Shaw, Self Portrait ,,[38-54; Bluebird; 5CD]
Archie Shepp, Four for Trane ,,[64; Impulse]
Wayne Shorter, Speak No Evil ,,[64; Blue Note]
Horace Silver, Blowin' the Blues Away ,,[59; Blue Note]
Zoot Sims, If I'm Lucky ,,[77; OJC]
Silver Leaf Jazz Band, New Orleans Wiggle ,,[98; GHB]				
Ishmael Wadada Leo Smith, The Kabell Years ,,[71-79; Tzadik; 4CD]
Ishmael Wadada Leo Smith, Divine Love ,,[78; ECM]
Jimmy Smith, Groovin' at Smalls' Paradise ,,[57; Blue Note; 2CD]
Muggsy Spanier, Muggsy Spanier 1939-1942 ,,[Classics]
Spontaneous Music Ensemble, Quintessence ,,[73-74; Emanem] 
Tomasz Stanko, Leosia ,,[96; ECM]
Bobo Stenson, Serenity ,,[99; ECM; 2CD]
Maxine Sullivan, Close as Pages in a Book ,,[69; Audiophile]
Sun Ra, Jazz in Silhouette ,,[58; Evidence]
Sun Ra, The Magic City ,,[65; Evidence]
John Surman, Tales of the Algonquin ,,[68; Deram]				
John Surman, A Biography of the Rev. Absalom Dawe ,,[94; ECM]
Art Tatum, The Complete Pablo Solo Masterpieces ,,[53-55; Pablo; 7CD]				
Art Tatum, The Tatum Group Masterpieces Vol. 8 ,,[56; Pablo]
Cecil Taylor, Jazz Advance ,,[56; Blue Note]
Cecil Taylor, Nefertiti the Beautiful One Has Come ,,[62; Revenant; 2CD]				
Cecil Taylor, For Olim ,,[86; Soul Note]
Cecil Taylor, The Tree of Life ,,[91; FMP]
Clark Terry, Memories of Duke ,,[80; OJC]
Mel Tormé, Mel Tormé Swings Shubert Alley ,,[60; Verve]
Lennie Tristano, Lennie Tristano ,,[55; Atlantic]
McCoy Tyner, The Real McCoy ,,[67; Blue Note]
McCoy Tyner, Time for Tyner ,,[68; Blue Note]
James Blood Ulmer, Odyssey ,,[83; Columbia]
Warren Vaché, 2Gether ,,[00; Nagel Heyer]
Kid Thomas Valentine, ,,[Kid Thomas-George Lewis] Ragtime Stompers ,,[61; GHB]
Sarah Vaughan, Sarah Vaughan ,,[54; Verve]
Edward Vesala, Lumi ,,[86; ECM]
Bobby Watson, Love Remains ,,[86; Red]
Weather Report, Mysterious Traveller ,,[73-74; Columbia]
Eberhard Weber, Yellow Fields ,,[75; ECM]
Ben Webster, Music for Loving ,,[54-55; Verve; 2CD]
Mike Westbrook, On Duke's Birthday ,,[84; Voiceprint] 
Kenny Wheeler, Music for Large and Small Ensembles ,,[90; ECM; 2CD]
Mary Lou Williams, Free Spirits ,,[75; Steeplechase]
Tony Williams, Life Time ,,[64; Blue Note]
Phil Woods, Phil Woods/Lew Tabackin ,,[80; Evidence]
Larry Young, Unity ,,[65; Blue Note]
Lester Young, The Complete Aladdin Sessions ,,[42-47; Blue Note; 2CD]
John Zorn, The Big Gundown ,,[84-85; Tzadik]
